Komentar;Kelas
"Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat.
 . 
 #ppkmmikro
 #protokolkesehatan
 #polrestulungagung
 #guyubrukun
 #akbphandonosubiakto01 https://t.co/rgb5jTn9eT";positif
@restulungagung #ppkmmikro #protokolkesehatan #polrestulungagung #guyubrukun #akbphandonosubiakto01;negatif
Restoran-Mall Bisa Buka hingga Pukul 22.00 Wita https://t.co/UdYIp6OBdu #PPKMMikro #berita #nusabali #pandemi #COVID19 #JamMalam;positif
Pemerintah Kembali Perpanjang PPKM Mikro, tetapi Ada yang Dilonggarkan #AirlanggaHartarto #Transportasiumum #DisiplinCegahCovid19 #PpkmMikro #PusatPerbelanjaan https://t.co/2oh5QSckhs https://t.co/D8j6Bd4vQo;negatif
"Ancol tetap buka meski PPKM Mikro diperpanjang.
 
 #merahputihcom #ancol #ppkmmikro #jakarta #COVID19
 https://t.co/TFhvVFO6Kd";positif
"Gus Menteri: 13 persen dana desa telah tersalur selama PPKM mikro https://t.co/1hMY6oHQsc
 
 #mendespdtt #ppkmmikro #jawa #bali #poskotanggapcovid19 #Lensaindonesiacom";positif
Tetap di Rumah Saja, Jakarta Perpanjang PPKM Mikro Jilid 3 selama 14 Hari Sampai 22 Maret 2021 https://t.co/AVVRcoqwIx #ppkmjakarta #psbbjakarta #aniesbaswedan #anies #jakarta #ppkmmikro #jakartapusat #jakartabarat #jakartatimur #jakartaselatan #jakartautara #covid19 #corona;negatif
"Bupati #Madiun Belum Izinkan Warga Gelar Kegiatan Sosial Budaya ?›ƒ?ªƒ?? #MadiunInfo #InformasiMadiun #beritamadiun #MadiunNews #kabarMadiun #peristiwamadiun #ppkmmikro #prokes #operasiyustisi #covid19 #sarscov2 #bupati #pemkab #kabupatenmadiun #madiunkab 
 https://t.co/ag0OZfgokk https://t.co/vlTMzJ1gUY";negatif
"RT @arjuna16sp: Pemaparan #GusMenteri tentang #PPKMMikro di Desa pada Rakornas PB 2021. 
 @jokowi 
 @halimiskandarnu 
 @imansyukri 
 @malik_haramain
 @taufikmadjid71 
 @yusradaridesa 
 @fachrilabalado 
 @SukoyoKasekpro 
 @Brigade01Arwan1 
 @Erwin3977 https://t.co/z8WArW8DSM";negatif
"PPKM Mikro jadi Fokus Pemkab Bulungan Atasi Covid-19, Syarwani: Pemanfaatan Refocusing Anggaran
  
 https://t.co/kwXfqVXSsQ via @Tribun_Kaltara #PPKMMikro #fokus #Pemkab #Bulungan #atasi #Covid19 #Syarwani #Refocusing #Anggaran";negatif
"RINDU event tnp maskeran...
 
 Semoga pandemi segera berakhir...
 
 #ppkmmikro https://t.co/MsLFWxZyYL";positif
"THM dan Bioskop di Kota #Madiun Diperbolehkan Beroperasi - #MadiunInfo #InformasiMadiun #beritamadiun #MadiunNews #kabarMadiun #wisataMadiun #peristiwamadiun #ppkmmikro #prokes #operasiyustisi #covid19 #sarscov2 #walikota #pemkot #KotaMadiun #MadiunKota 
 https://t.co/YqVezasi0Y https://t.co/0sCRUhzBpJ";positif
"Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19
 #divisihumaspolri
 #patuhiprokes
 #AyoJogoBlitar
 #bebasCovid19
 #PPKMMikro https://t.co/YM3sB4c68t";positif
"kata Airlangga Hartarto dalam konferensi pers secara virtual, Senin (8/3/2021).
 
 Makanya kita harus pinter-pinter jaga diri dan kesehatan ya!
 
 Berita selengkapnya:
 https://t.co/E1L3YaSgUF
 
 #PPKM #PPKMmikro #PSBB #pembatasan #covid19";negatif
"RT @salatiga_info: Banyak Yang Tertib Protokol Hingga Kasus Melandai, Walikota Salatiga Klaim PPKM Mikro Salatiga Berhasil. Geser Kiri. 
 . 
 . 
 #infosalatiga #salatiga #ppkmmikro https://t.co/sWo11xYcPi";positif
"RT @humas_jogja: Berdasarkan Instruksi Gubernur Daerah Istimewa Yogyakarta Nomor: 7/INSTR/2021, diberlakukan perpanjangan PPKM Mikro DIY mulai 9 Maret hingga 22 Maret 2021. 
 
 #PPKMMikro
 #PTKM
 #JogjaIstimewa
 #InstruksiGubernur https://t.co/saiXMHz1S9";negatif
"Mari tetap terapkan protokol kesehatan pencegahan Covid-19 demi kebaikan bersama.
 
 Sumber : @humas_jogja 
 
 #PPKMMikro
 #PTKM
 #JogjaIstimewa
 #InstruksiGubernur
 #KominfoDIY";positif
"Banyak Yang Tertib Protokol Hingga Kasus Melandai, Walikota Salatiga Klaim PPKM Mikro Salatiga Berhasil. Geser Kiri. 
 . 
 . 
 #infosalatiga #salatiga #ppkmmikro https://t.co/sWo11xYcPi";positif
"#ppkmmikro
 #InfoKPCPEN
 #RedamLajuCovid 
 
 Pelaksanaan PPKM ke-I dan II (periode 25 Januari sampai 8 Maret 2021) berhasil meredam laju penambahan kasus aktif Covid-19 pada level nasional
 
 https://t.co/1eyw9RBT7Y";positif
Efektif Turunkan Covid-19, Khofifah Indar Parawansa Perpanjang PPKM Mikro https://t.co/xLGkFNJhYp #covid-19 #Khofifah #PPKMMikro;positif
Sukseskan PPKM Mikro diperpanjang hingga 22 Maret 2021 #ppkmmikro https://t.co/hAMUn5P96h;positif
"PPKM Mikro diperpanjang, Pengusaha Pasrah
 #ppkmmikro 
 
 https://t.co/ca60g0gl6l";negatif
"Efektif Perkuat PPKM Mikro, 22.832 Posko Desa Tersebar di 30 Provinsi 
 #ppkmmikro
 https://t.co/U88TB7b2Hd";positif
Jam Buka Toko Masih Tumpang Tindih https://t.co/PtvnWqJFN0 #berita #nusabali #JamMalam #PPKMMikro #COVID19 #pandemi;negatif
"PPKM Mikro Diperpanjang, Anggota DPR Ingatkan Jangan Lengah 
 
 #PPKM #PPKMMikro https://t.co/tPJ5fIqjF0";positif
"Top News Koran Rakyat Merdeka
 
 PPKM Mikro Terkendala Dana Desa
 Catat Ya... Anggaran Posko Covid Desa Minimal 8 Persen
 
 #PPKM #PPKMMikro #DanaDesa #SatgasCovid19 #Corona #coronavirus #COVID19 #Nasional #Covid_19 #COVID #RakyatMerdeka #RMid
 
 https://t.co/8wS8tFqakQ";negatif
"PPKM Mikro di Jakarta 9-22 Maret, Tempat Rekreasi Bisa Buka dengan Syarat Tertentu
 
 #PPKM #PPKMMikro #DKIJakarta?? https://t.co/5Du6jc3OCU";negatif
PPKM Mikro Surabaya Diperpanjang https://t.co/EGbtg5aPef #PPKM #ppkmmikro #surabaya #COVID19;positif
"Mulai tgl 11 Maret, bak PPKM. Waktu diberlakukan dibatasi mulai pukul 21:25-03:00 WIB.
 
 #PPKMMikro #BatasWaktu #SemangatSeru #InternationalWomensDay #InspirasiWanita";negatif
"Ketua DPRD Kab Banyumas Dr Budi Setiawan melaksanakan pembinaan dan monitoring evaluasi pelaksanaan PPKM Mikro Desa Babakan kecamatan Karanglewas, Senin malam (8/3/21). 
 . 
 . 
 #ppkmmikro
 #banyumassolidmelawancovid
 #polripresisi
 #polrestabanyumas https://t.co/VwoWXyVahQ";positif
"Diperpanjang, PPKM Mikro Diperluas ke Kaltim, Sulsel, dan Sumut
 
 #PPKM #PPKMMikro https://t.co/3Gt2h4gOa6";negatif
PPKM Mikro Turunkan Kasus COVID-19, Satgas: Kalau Ragu Silakan Amati Sampai Akhir #PPKMMikro #VirusCorona https://t.co/adeuhLcQR1;positif
"PPKM Mikro Diperpanjang, Objek Wisata di Jepara Masih Belum Boleh Buka.
 
 Selengkapnya klik tautan berikut ini. 
 #Jepara #PPKMMikro #Wisata #Tutup
 https://t.co/r1eJuWEsbq";negatif
Dinas Kesehatan DKI Sebut PPKM Mikro Tekan Kasus Covid-19 #PPKMmikro #covid-19 https://t.co/qYfu44Oa8n;positif
"Bersama 3 pilar, anggota Polsek Karanglewas, Koramil dan Kecamatan lak giat laks giat ops yustisi penegakan PPKM dan himbauan untuk tetap patuhi prokes di pasar pahing ikut ds Pasir Lor
  Kec Karanglewas, (8/3)
 
 #ppkmmikro
 #polripresisi
 #banyumassolidmelawancovid https://t.co/evgXmORfcd";positif
"Bhabinkamtibmas desa silado Aiptu Ady Suprayogi melaksanakan kegiatan kontrol kesiapan posko PPKM micro desa Silado meliputi penyusunan Renbut dan Perlengkapan serta operasional Posko PPKM Mikro.
 #Jatenglawancorona 
 #Ikutiaturancegahcorona 
 #ppkmmikro
 #Amandirumah 
 #Dirumahaja https://t.co/pLcKf3jn6M";positif
"Ampuh Turunkan Kasus Covid-19, PPKM Berskala Mikro Kembali Diperpanjang
 
 #ppkmmikro #PPKM #COVID #COVID19 https://t.co/wirvjxEkWJ";positif
"Bersama 3 pilar, anggota Polsek Karanglewas, Koramil dan Kecamatan lak giat monitoring update data posko PPKM Mikro di ds Pasir Wetan Kec Karanglewas, (8/3)
 
 #ppkmmikro
 #polripresisi
 #banyumassolidmelawancovid https://t.co/aklhViLA8n";positif
"pencegahan penularan Covid-19 harus dilaksanakan dr lingkungan terkecil.
 Realisasikan posko tanggap corona di setiap desa/kelurahan.
 
 #LawanCovid19 
 #PPKMMikro
 #1JutaVaksinasiAman https://t.co/Cq5sS0n0KJ";positif
"RT @HumasPoldaJatim: Imbauan Tokoh Agama Kota Blitar untuk tetap Taat Protokol Kesehatan 5M serta PPKM Mikro untuk mewujudkan Jawa Timur yang Sehat dan Bebas Corona?ø???ÿ?ø?ƒ????ø???¯
 
 #jawatimurbangkit 
 #jatimtaatprokes5m 
 #ppkmmikro https://t.co/0s5iw57xFH";positif
"Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19
 #divisihumaspolri
 #patuhiprokes
 #AyoJogoBlitar
 #bebasCovid19
 #PPKMMikro https://t.co/kMR090bEYR";positif
PPKM mikro samgat efektif #PPKMMikro https://t.co/9XmHoQGu5H;positif
"RT @aryumawanesia: terus bergerak lawan covid-19 bersama seluruh lapisan masyarakat
 #PPKMMikro
 #JogoTongo
 #JatengGayeng
 @ganjarpranowo
 @Kodim_Sragen 
 @kominfo_srg 
 @P3MD_Sragen 
 @ressragen 
 @polressragen
 @dinkesjateng 
 @bpbd_sragen 
 @DISPERMADES_JTG 
 @kominfo_jtg 
 @newsragen https://t.co/rLlooTyCik";positif
"Himbauan Tokoh agama untuk tetap mematuhi protokol kesehatan dan PPKM mikro demi terwujudnya masyarakat yang bebas covid-19
 
 #patuhprokes
 #PPKMmikro
 #bebasCovid19
 #AyoJogoBlitar https://t.co/ZvPqBBv9iV";positif
Selalu disiplin Prokes #PPKMMikro https://t.co/uaDK8CAZIZ;positif
"DINE-IN dengan Social Distancing
 Dari 3pm s/d 9.30pm
 #steak #pasta #pizza
 #steakandshake
 #iconkulinersolo #iconkuliner
 #surakarta #solo 
 #kulinerlegendaris 
 #jajansolomurah #jajansolohitz #jajansolo #jajansoloenak #jajananhits #jajanankekinian #NewNormal
 #PPKM #PSBB #PPKMMikro https://t.co/E5piaSdMmX";positif
"Gubernur Sumut Terapkan PPKM Mikro di 6 Kabupaten/Kota, Berikut Daftarnya 
 
 #PPKM #PPKMMikro #Sumut https://t.co/HTL36mbpL9";positif
"Enam Wilayah ini Zona Merah, Pemprov Sumut Berlakukan PPKM Mikro
 
 @RahmayadiEdy @ijeck09
 
 #PPKMMIKRO https://t.co/2tLnMuaslW";negatif
"Himbauan Tokoh agama untuk tetap mematuhi protokol kesehatan dan PPKM mikro demi terwujudnya masyarakat yang bebas covid-19
 
 #patuhprokes
 #PPKMmikro
 #bebasCovid19
 #AyoJogoBlitar https://t.co/5aI5k2UC0K";positif
"https://t.co/UUD9KYNK9q
 
 Himbauan Tokoh agama untuk tetap mematuhi protokol kesehatan dan PPKM mikro demi terwujudnya masyarakat yang bebas covid-19
 
 #patuhprokes
 #PPKMmikro
 #bebasCovid19
 #AyoJogoBlitar";positif
"Himbauan Tokoh agama untuk tetap mematuhi protokol kesehatan dan PPKM mikro demi terwujudnya masyarakat yang bebas covid-19
 
 #patuhprokes
 #PPKMmikro
 #bebasCovid19
 #AyoJogoBlitar https://t.co/j1X6mto7lT";positif
"[TERBARU] Penanganan #COVID19 di Jakarta.
 (1/2) Update data tes &amp; kasus PCR DKI Jakarta 13 Maret 21. Strategi tes, lacak dan isolasi terus digencarkan untuk temukan sebanyaknya kasus positif agar dapat disembuhkan dan tidak menularkan virus.
 #JagaJakarta #PSBBJakarta #PPKM https://t.co/lugKmPnbzE";positif
"Sebanyak 98,4% RT di Kabupaten #Madiun Masuk Zona Hijau - #MadiunInfo #InformasiMadiun #beritamadiun #MadiunNews #kabarMadiun #peristiwamadiun #ppkmmikro #covid19 #sarscov2 #RT #rukuntetangga #zonahijau #bupati #pemkab #kabupatenmadiun #madiunkab #jatim
 https://t.co/BIyXouUWPd https://t.co/S0ycauzknp";positif
"Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19
 #divisihumaspolri
 #patuhiprokes
 #AyoJogoBlitar
 #bebasCovid19
 #PPKMMikro https://t.co/HZw0xfTZ8A";positif
"Sudah tidak lagi 3M, menekan penyebaran virus Corona perlu penerapan protokol kesehatan 5M. Perlu kesadaran masyarakat, mengingat di jalanan kadang banyak yang tidak mematuhi protokol kesehatan
 
 #polrestulungagung 
 #pidpolsekngunut 
 #ppkmmikro
 #prokes5m 
 #guyubrukun https://t.co/otXQ8Do2DM";positif
RT @jpnncom: Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA;negatif
Tiga provinsi yang tak menjalankan kebijakan PPKM dan PPKM skala mikro menunjukan peningkatan kasus aktif Covid-19. #Ppkmmikro https://t.co/sOhi56lRZA;negatif
Jam Tutup Usaha Dilonggarkan Jadi Pukul 22.00 Wita https://t.co/HwFdBrSvVI #berita #nusabali #JamMalam #PPKMMikro #pandemi;positif
"RT @KabarMalangCom: PPKM Mikro Berlanjut Di Kota Malang, Petugas Getol Opsgakplin, PPKM mikro berlanjut di Kota Malang. Opsgakplin protokol kesehatan pun makin gencar. Kota Malang cukup getol menggalakkan operasi #perpanjanganPPKM #PPKMmikro #kabarmalang 
 
 https://t.co/et8bbh1d5Z";positif
"PPKM Mikro Berlanjut Di Kota Malang, Petugas Getol Opsgakplin, PPKM mikro berlanjut di Kota Malang. Opsgakplin protokol kesehatan pun makin gencar. Kota Malang cukup getol menggalakkan operasi #perpanjanganPPKM #PPKMmikro #kabarmalang 
 
 https://t.co/et8bbh1d5Z";positif
"Datangi Posko PPKM Desa Bandungrejo Jepara, Kapolda Jateng Bagikan Masker dan 50 Paket Sembako.
 
 Selengkapnya klik tautan berikut ini.
 #Jepara #PPKMMikro #Bandungrejo #Kapolda #Jateng
 https://t.co/vDB3cO2sqp";positif
"Bhabinkamtibmas Polsek Sumbang Aiptu Diya Nilawanti membagikan nasi kotak dari Polsek Sumbang program JUMAT PEDULI DAN BERKAH?? kepada Banpol dan pedagang kecil.
 #Jatenglawancorona 
 #Ikutiaturancegahcorona 
 #ppkmmikro
 #Amandirumah 
 #Dirumahaja https://t.co/7OPtDyM3LW";positif
"Penggagas KLB @PDemokrat tapi sudah mengundurkan diri sebagai kader?
 Ngotot merasa paling berjasa terhadap @PDemokrat kenyataannya ingin ada dalam kekuasaan?
 Lupa prokes kesehatan saat konferensi pers?
 Padahal sedang #PPKMmikro
 #KLBUrusanInternalDemokrat https://t.co/PrfXDuAW5X";negatif
"Begini Pesta Ultah Pedangdut Lara Silvi yang Digelar tanpa Pakai Masker dan Berkerumun
 
 #protokolkesehatan #melanggarprokes #wajibmasker #tanpamasker #kerumunan #ppkm #ppkmmikro #cafedefins #larasilvi #dangdut #psbb #viruscorona #viruscovid19 #covid19 #corona https://t.co/UqwLrJu8oN";negatif
"Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19
 #divisihumaspolri
 #patuhiprokes
 #AyoJogoBlitar
 #bebasCovid19
 #PPKMMikro https://t.co/kMR090bEYR";positif
PPKM mikro samgat efektif #PPKMMikro https://t.co/9XmHoQGu5H;positif
"RT @aryumawanesia: terus bergerak lawan covid-19 bersama seluruh lapisan masyarakat
 #PPKMMikro
 #JogoTongo
 #JatengGayeng
 @ganjarpranowo
 @Kodim_Sragen 
 @kominfo_srg 
 @P3MD_Sragen 
 @ressragen 
 @polressragen
 @dinkesjateng 
 @bpbd_sragen 
 @DISPERMADES_JTG 
 @kominfo_jtg 
 @newsragen https://t.co/rLlooTyCik";positif
Selalu disiplin Prokes #PPKMMikro https://t.co/uaDK8CAZIZ;positif
"Gubernur Sumut Terapkan PPKM Mikro di 6 Kabupaten/Kota, Berikut Daftarnya 
 
 #PPKM #PPKMMikro #Sumut https://t.co/HTL36mbpL9";positif
"Enam Wilayah ini Zona Merah, Pemprov Sumut Berlakukan PPKM Mikro
 
 @RahmayadiEdy @ijeck09
 
 #PPKMMIKRO https://t.co/2tLnMuaslW";positif
"Himbauan Tokoh agama untuk tetap mematuhi protokol kesehatan dan PPKM mikro demi terwujudnya masyarakat yang bebas covid-19
 
 #patuhprokes
 #PPKMmikro
 #bebasCovid19
 #AyoJogoBlitar https://t.co/5aI5k2UC0K";positif
"https://t.co/UUD9KYNK9q
 
 Himbauan Tokoh agama untuk tetap mematuhi protokol kesehatan dan PPKM mikro demi terwujudnya masyarakat yang bebas covid-19
 
 #patuhprokes
 #PPKMmikro
 #bebasCovid19
 #AyoJogoBlitar";positif
"Monitor Posko PPKM mikro disetiap Kalurahan maupun Kelurahan. Semoga pandemi inj segera berakhir ?ø?ƒ?›?.
 #lawancovid19 
 #kulonprogobisabebascovid 
 #kulonprogothejawelofjava 
 #kulonprogo 
 #ppkmmikro 
 #ppkm 
 #ppkmjawabali https://t.co/ltxZN3ht8B";positif
"Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19
 #divisihumaspolri
 #patuhiprokes
 #AyoJogoBlitar
 #bebasCovid19
 #PPKMMikro https://t.co/HZw0xfTZ8A";positif
"Sudah tidak lagi 3M, menekan penyebaran virus Corona perlu penerapan protokol kesehatan 5M. Perlu kesadaran masyarakat, mengingat di jalanan kadang banyak yang tidak mematuhi protokol kesehatan
 
 #polrestulungagung 
 #pidpolsekngunut 
 #ppkmmikro
 #prokes5m 
 #guyubrukun https://t.co/otXQ8Do2DM";positif
"RT @KabarMalangCom: PPKM Mikro Berlanjut Di Kota Malang, Petugas Getol Opsgakplin, PPKM mikro berlanjut di Kota Malang. Opsgakplin protokol kesehatan pun makin gencar. Kota Malang cukup getol menggalakkan operasi #perpanjanganPPKM #PPKMmikro #kabarmalang 
 
 https://t.co/et8bbh1d5Z";positif
"PPKM Mikro Berlanjut Di Kota Malang, Petugas Getol Opsgakplin, PPKM mikro berlanjut di Kota Malang. Opsgakplin protokol kesehatan pun makin gencar. Kota Malang cukup getol menggalakkan operasi #perpanjanganPPKM #PPKMmikro #kabarmalang 
 
 https://t.co/et8bbh1d5Z";positif
"Datangi Posko PPKM Desa Bandungrejo Jepara, Kapolda Jateng Bagikan Masker dan 50 Paket Sembako.
 
 Selengkapnya klik tautan berikut ini.
 #Jepara #PPKMMikro #Bandungrejo #Kapolda #Jateng
 https://t.co/vDB3cO2sqp";positif
"Bhabinkamtibmas Polsek Sumbang Aiptu Diya Nilawanti membagikan nasi kotak dari Polsek Sumbang program JUMAT PEDULI DAN BERKAH?? kepada Banpol dan pedagang kecil.
 #Jatenglawancorona 
 #Ikutiaturancegahcorona 
 #ppkmmikro
 #Amandirumah 
 #Dirumahaja https://t.co/7OPtDyM3LW";positif
"Kapolsek Selorejo pimmpin pelaksanaan pengawasan PPKM dan pembagian masker kepada jamaah sholat Jum'at di Masjid Al- Munir desa Sumberagung.
 #divisihumaspolri
 #patuhiprokes
 #AyoJogoBlitar
 #bebasCovid19
 #PPKMMikro https://t.co/lnxiWklj7q";positif
"pencegahan penularan Covid-19 harus dilaksanakan dr lingkungan terkecil.
 Realisasikan posko tanggap corona di setiap desa/kelurahan.
 
 #LawanCovid19 
 #PPKMMikro
 #1JutaVaksinasiAman https://t.co/wVsTsg4Lsx";positif
"PPKM Mikro Efektif Berhasil Menekan Kasus Baru Covid-19
 
 #indonesia #COVID19 #ppkmmikro #protokolkesehatan
 #janganlupakan5m https://t.co/1KIIwqU6cD";positif
"#Masker_KU_melindungi_MU
 #Masker_MU_melindungi_KU
 ?ø????ú?ø????ú?ø????ú?ø????ú
 
 Polsek Ngunut melaksanakan Penerapan PPKM MIKRO guna menumbuhkan kesadaran masyarakat tentang ProKes 5M
 
 #saluspopulisupremalexesto
 #polrestulungagung
 #pidpolsekngunut
 #ppkmmikro
 #jatimbermasker
 #guyubrukun https://t.co/FYvbrbQvVY";positif
"Bhabinkambmas Desa Ngasinan Aiptu Bambang ADT bersama Babinsa Serma Lusyono, Bidan Desa dan Perdes Ngasinan mengantarkan warga untuk Swab di Puskesmas Weru Kabupaten Sukoharjo.
 Jumat, 12/3/21
 .
 #humas_poldajateng 
 #infopolisisukoharjo
 #polisisukoharjo
 #ppkmmikro. https://t.co/vU5ABZbuMH";positif
"For your information!
 PPKM Mikro Efektif Berhasil Menekan Kasus Baru Covid-19
 
 #indonesia #COVID19 #ppkmmikro #protokolkesehatan https://t.co/3JTlPo1pWo";positif
"Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19
 #divisihumaspolri
 #patuhiprokes
 #AyoJogoBlitar
 #bebasCovid19
 #PPKMMikro https://t.co/L8dTHeGOZH";positif
"Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat.
 .
 #ppkmmikro
 #protokolkesehatan
 #polrestulungagung
 #guyubrukun
 #akbphandonosubiakto01 https://t.co/u1dAFxzYUG";positif
"RT @PemKabTangerang: Gubernur Banten Wahidin Halim : 
 PPKM Mikro se-Tangerang Raya Cukup Efektif
 
 Selengkapnya: https://t.co/2ku7ppdKiQ
 
 #Rakor #PPKMMikro https://t.co/jRpboAsDxl";positif
"Gubernur Banten Wahidin Halim : 
 PPKM Mikro se-Tangerang Raya Cukup Efektif
 
 Selengkapnya: https://t.co/2ku7ppdKiQ
 
 #Rakor #PPKMMikro https://t.co/jRpboAsDxl";positif
"BERAS ANYAR....!
 
 Dikiro stafff Ternyata ???......
 
 Sukseskan PPKM Mikro dan tetap patuhi Protokol kesehatan
 
 https://t.co/qJ4QWXubj6
 
 Selamat menyaksikan...
 
 #Humaspolri #Poldajawatengah #Polrespemalang #Polsekpetarukan #PPKM #PPKMMikro #Covid19 #CegahCovid19 #filmpendeklucu";positif
"RT @arjuna16sp: @PmdPuspen Semoga #GusMenteri juga mengusulkan kepada Bapak Presiden @jokowi agar @tppkemendes jenjang terbawah #PLD &amp; #PendampingDesa di vaksin sbg garda terdepan dlm fasilitasi penanganan #COVID19 &amp; #PPKMMikro 
 @halimiskandarnu 
 @taufikmadjid71 
 @yusradaridesa";positif
"@restulungagung Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat.
 . 
 #ppkmmikro
 #protokolkesehatan
 #polrestulungagung
 #guyubrukun
 #akbphandonosubiakto01";positif
"Himbauan Tokoh Agama tentang PPKM Mikro dan Prokes 5M kepada Masyarakat.
 . 
 #ppkmmikro
 #protokolkesehatan
 #polrestulungagung
 #guyubrukun
 #akbphandonosubiakto01 https://t.co/VubdxcT45f";positif
"RINDU event tnp maskeran...
 
 Semoga pandemi segera berakhir...
 
 #ppkmmikro https://t.co/MsLFWxZyYL";positif
"RT @RakyatMerdeka99: Top News Koran Rakyat Merdeka
 
 PPKM Mikro Terkendala Dana Desa
 Catat Ya... Anggaran Posko Covid Desa Minimal 8 Persen
 
 #PPKM #PPKMMikro #DanaDesa #SatgasCovid19 #Corona #coronavirus #COVID19 #Nasional #Covid_19 #COVID #RakyatMerdeka #RMid
 
 https://t.co/8wS8tFqakQ";positif
"kata Airlangga Hartarto dalam konferensi pers secara virtual, Senin (8/3/2021).
 
 Makanya kita harus pinter-pinter jaga diri dan kesehatan ya!
 
 Berita selengkapnya:
 https://t.co/E1L3YaSgUF
 
 #PPKM #PPKMmikro #PSBB #pembatasan #covid19";positif
"RT @salatiga_info: Banyak Yang Tertib Protokol Hingga Kasus Melandai, Walikota Salatiga Klaim PPKM Mikro Salatiga Berhasil. Geser Kiri. 
 . 
 . 
 #infosalatiga #salatiga #ppkmmikro https://t.co/sWo11xYcPi";positif
"Mari tetap terapkan protokol kesehatan pencegahan Covid-19 demi kebaikan bersama.
 
 Sumber : @humas_jogja 
 
 #PPKMMikro
 #PTKM
 #JogjaIstimewa
 #InstruksiGubernur
 #KominfoDIY";positif
"#ppkmmikro
 #InfoKPCPEN
 #RedamLajuCovid 
 
 Pelaksanaan PPKM ke-I dan II (periode 25 Januari sampai 8 Maret 2021) berhasil meredam laju penambahan kasus aktif Covid-19 pada level nasional
 
 https://t.co/1eyw9RBT7Y";positif
"Top News Koran Rakyat Merdeka
 
 PPKM Mikro Terkendala Dana Desa
 Catat Ya... Anggaran Posko Covid Desa Minimal 8 Persen
 
 #PPKM #PPKMMikro #DanaDesa #SatgasCovid19 #Corona #coronavirus #COVID19 #Nasional #Covid_19 #COVID #RakyatMerdeka #RMid
 
 https://t.co/8wS8tFqakQ";positif
"RT @arjuna16sp: @PmdPuspen Semoga #GusMenteri juga mengusulkan kepada Bapak Presiden @jokowi agar @tppkemendes jenjang terbawah #PLD &amp; #PendampingDesa di vaksin sbg garda terdepan dlm fasilitasi penanganan #COVID19 &amp; #PPKMMikro 
 @halimiskandarnu 
 @taufikmadjid71 
 @yusradaridesa";positif
"@PmdPuspen Semoga #GusMenteri juga mengusulkan kepada Bapak Presiden @jokowi agar @tppkemendes jenjang terbawah #PLD &amp; #PendampingDesa di vaksin sbg garda terdepan dlm fasilitasi penanganan #COVID19 &amp; #PPKMMikro 
 @halimiskandarnu 
 @taufikmadjid71 
 @yusradaridesa";positif
PPKM Mikro Turunkan Kasus COVID-19, Satgas: Kalau Ragu Silakan Amati Sampai Akhir #PPKMMikro #VirusCorona https://t.co/adeuhLcQR1;positif
"Bhabinkamtibmas Polsek Sumbang desa karangcegak Aipda Tri w melaksanakan sambang/DDS ke Tokoh Agama?? desa karangcegak dan memberikan himbauan tentang protokol kesehatan.
 #Jatenglawancorona 
 #Ikutiaturancegahcorona 
 #ppkmmikro
 #Amandirumah 
 #Dirumahaja 
 #Adaptasikebiasaambaru https://t.co/j0KK98ov55";positif
"PPKM Mikro Genjot Masyarakat Patuhi Protokol Kesehatan
 
 #ppkmmikro #SatgasCovid19 #pakaimasker #jagajarak #cucitangan #Corona #coronavirus #COVID19 #COVID?œ’??¬19 #GovernmentAction #Covid_19 #COVID #RakyatMerdeka #RMid 
  https://t.co/0QQ0Ok9suf";positif
"pencegahan penularan Covid-19 harus dilaksanakan dr lingkungan terkecil.
 Realisasikan posko tanggap corona di setiap desa/kelurahan.
 
 #LawanCovid19 
 #PPKMMikro
 #1JutaVaksinasiAman https://t.co/Cq5sS0n0KJ";positif
"Ketua Satgas Penanganan Covid-19, Doni Monardo mengatakan kematian dokter karena covid-19 turun drastis karena PPKM mikro.
 
 #PPKM #PPKMMikro
 https://t.co/cbVblonRNa";positif
"RT @HumasPoldaJatim: Imbauan Tokoh Agama Kota Blitar untuk tetap Taat Protokol Kesehatan 5M serta PPKM Mikro untuk mewujudkan Jawa Timur yang Sehat dan Bebas Corona?ø???ÿ?ø?ƒ????ø???¯
 
 #jawatimurbangkit 
 #jatimtaatprokes5m 
 #ppkmmikro https://t.co/0s5iw57xFH";positif
"Patuhi protokol kesehatan untuk mewujudkan Blitar bebas covid-19
 #divisihumaspolri
 #patuhiprokes
 #AyoJogoBlitar
 #bebasCovid19
 #PPKMMikro https://t.co/kMR090bEYR";positif
 Himbauan Tokoh agama untuk tetap mematuhi protokol kesehatan dan PPKM mikro demi terwujudnya masyarakat yang bebas covid-19;positif
